UNO Synth Pro MIDI Monitor v1.1 State Read
UNO IN: 0: UNO Synth Pro
UNO OUT: 1: UNO Synth Pro
EDITOR OUT/TAP IN: 1: UNO_TAP
EDITOR IN/RETURN OUT: 3: UNO_RETURN
Clock captured: False
Active Sense captured: False
REC	TIME	DIRECTION	TYPE	BYTES	HEX	DECODED
30	5.502320	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 1C 43 48 49 4C 4C 20 50 4C 55 43 4B 00 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
31	5.529585	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 1D 45 4C 45 53 4E 41 52 45 00 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
32	5.562871	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 1E 4C 49 4B 45 20 41 4E 20 41 4E 49 4D 41 4C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
33	5.590739	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 1F 54 41 4C 4B 49 4E 47 20 42 41 53 53 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
34	5.616847	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 20 54 41 55 52 4F 4E 00 20 20 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
35	5.643259	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 21 4D 4F 54 4F 52 4C 45 41 44 00 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
36	5.670448	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 22 46 41 53 54 45 52 00 20 20 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
37	5.702532	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 23 45 44 47 45 20 52 41 43 45 52 00 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
38	5.728903	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 24 42 52 41 53 53 59 20 50 41 44 00 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
39	5.761556	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 25 4D 57 20 45 43 48 4F 20 4C 45 56 45 4C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
40	5.788046	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 26 48 4F 45 44 4F 57 4E 00 20 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
41	5.815757	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 27 45 4C 45 54 4F 4D 53 00 20 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
42	5.846972	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 28 42 41 53 53 20 4D 55 54 45 00 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
43	5.873000	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 29 4C 4F 57 20 52 55 4D 42 4C 45 00 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
44	5.900198	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 2A 46 41 54 54 59 20 54 4F 52 4F 00 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
45	5.927445	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 2B 50 52 4F 4D 59 4B 4C 45 41 44 00 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
